director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
James CameronJoachim Rønning Espen Sandberg,CCH PounderJohnny Depp,Joel David MooreJavier Bardem,Wes StudiGeoffrey Rush,Action Adventure Fantasy Sci-FiAdventure Action Fantasy Comedy,avatarpirates of the caribbean: dead men tell no tales,CCH Pounder Joel David Moore Wes Studi James Cameron Action Adventure Fantasy Sci-FiJohnny Depp Javier Bardem Geoffrey Rush Joachim Rønning Espen Sandberg Adventure Action Fantasy Comedy
Gore VerbinskiZack Snyder,Johnny DeppBen Affleck,Orlando BloomHenry Cavill,Jack DavenportGal Gadot,Action Adventure FantasyAction Adventure Fantasy Sci-Fi,pirates of the caribbean: at world's endjustice league,Johnny Depp Orlando Bloom Jack Davenport Gore Verbinski Action Adventure FantasyBen Affleck Henry Cavill Gal Gadot Zack Snyder Action Adventure Fantasy Sci-Fi
Sam MendesTaika Waititi,Christoph WaltzChris Hemsworth,Rory KinnearTom Hiddleston,Stephanie SigmanCate Blanchett,Action Adventure ThrillerAction Adventure Fantasy Sci-Fi,spectrethor: ragnarok,Christoph Waltz Rory Kinnear Stephanie Sigman Sam Mendes Action Adventure ThrillerChris Hemsworth Tom Hiddleston Cate Blanchett Taika Waititi Action Adventure Fantasy Sci-Fi
Christopher NolanJames Gunn,Tom HardyChris Pratt,Christian BaleZoe Saldana,Joseph Gordon-LevittDave Bautista,Action ThrillerAction Adventure Comedy Sci-Fi,the dark knight risesguardians of the galaxy vol. 2,Tom Hardy Christian Bale Joseph Gordon-Levitt Christopher Nolan Action ThrillerChris Pratt Zoe Saldana Dave Bautista James Gunn Action Adventure Comedy Sci-Fi
Doug WalkerSean McNamara,Doug WalkerPierce Brosnan,Rob WalkerWilliam Hurt,unknownBenjamin Walker,DocumentaryFantasy Action Adventure,star wars: episode vii - the force awakens            the king's daughter,Doug Walker Rob Walker unknown Doug Walker DocumentaryPierce Brosnan William Hurt Benjamin Walker Sean McNamara Fantasy Action Adventure
Andrew StantonAdam Spinks,Daryl SabaraBen Loyd-Holmes,Samantha MortonSarah Mac,Polly WalkerNeil Newbon,Action Adventure Sci-FiThriller Adventure,john carterextinction: nature has evolved,Daryl Sabara Samantha Morton Polly Walker Andrew Stanton Action Adventure Sci-FiBen Loyd-Holmes Sarah Mac Neil Newbon Adam Spinks Thriller Adventure
Sam RaimiRucha Humnabadkar,J.K. SimmonsAli Fazal,James FrancoMelanie Chandra,Kirsten DunstOmi Vaidya,Action Adventure RomanceDrama Comedy,spider-man 3for here or to go?,J.K. Simmons James Franco Kirsten Dunst Sam Raimi Action Adventure RomanceAli Fazal Melanie Chandra Omi Vaidya Rucha Humnabadkar Drama Comedy
Nathan GrenoSarik Andreasyan,Brad GarrettAnton Pampushnyy,Donna MurphySanzhar Madiyev,M.C. GaineySebastien Sisak,Adventure Animation Comedy Family Fantasy Musical RomanceAction Fantasy Sci-Fi,tangledguardians,Brad Garrett Donna Murphy M.C. Gainey Nathan Greno Adventure Animation Comedy Family Fantasy Musical RomanceAnton Pampushnyy Sanzhar Madiyev Sebastien Sisak Sarik Andreasyan Action Fantasy Sci-Fi
Joss WhedonPeter Hutchings,Chris HemsworthVictoria Justice,Robert Downey Jr.Eden Sher,Scarlett JohanssonAshley Rickards,Action Adventure Sci-FiComedy,avengers: age of ultronthe outcasts,Chris Hemsworth Robert Downey Jr. Scarlett Johansson Joss Whedon Action Adventure Sci-FiVictoria Justice Eden Sher Ashley Rickards Peter Hutchings Comedy
David YatesPatty Jenkins,Alan RickmanGal Gadot,Daniel RadcliffeChris Pine,Rupert GrintRobin Wright,Adventure Family Fantasy MysteryAction Adventure Fantasy,harry potter and the half-blood princewonder woman,Alan Rickman Daniel Radcliffe Rupert Grint David Yates Adventure Family Fantasy MysteryGal Gadot Chris Pine Robin Wright Patty Jenkins Action Adventure Fantasy
